import time: self [us] | cumulative | imported package
import time:        14 |       3776 |       langchain_core.messages.block_translators.openai
import time:      1228 |       1228 |       langchain_core.messages.chat
import time:      1053 |       1053 |       langchain_core.messages.function
import time:       580 |        580 |       langchain_core.messages.modifier
import time:       104 |        104 |         langchain_core.utils.json_schema
import time:       466 |        570 |       langchain_core.utils.function_calling
import time:        79 |         79 |       langchain_text_splitters
import time:       127 |        127 |         pydantic._internal._serializers
import time:      3232 |       3358 |       langchain_core.prompt_values
import time:       317 |        317 |           yaml.error
import time:       260 |        260 |           yaml.tokens
import time:       221 |        221 |           yaml.events
import time:       131 |        131 |           yaml.nodes
import time:      3454 |       3454 |             yaml.reader
import time:       279 |        279 |             yaml.scanner
import time:       210 |        210 |             yaml.parser
import time:       112 |        112 |             yaml.composer
import time:       631 |        631 |             yaml.constructor
import time:       925 |        925 |             yaml.resolver
import time:       236 |       5844 |           yaml.loader
import time:       256 |        256 |             yaml.emitter
import time:       120 |        120 |             yaml.serializer
import time:       198 |        198 |             yaml.representer
import time:       153 |        725 |           yaml.dumper
import time:       360 |        360 |             yaml._yaml
import time:       201 |        560 |           yaml.cyaml
import time:       351 |       8406 |         yaml
import time:       100 |        100 |         langchain_core.outputs
import time:       897 |        897 |         langchain_core.outputs.generation
import time:       110 |        110 |           langchain_core.output_parsers
import time:       110 |        110 |             langchain_core.runnables
import time:       215 |        215 |             concurrent.futures.thread
import time:       146 |        146 |               langchain_core.callbacks
import time:       460 |        460 |               langchain_core.callbacks.base
import time:       144 |        144 |               langchain_core.callbacks.stdout
import time:       199 |        199 |               langchain_core.globals
import time:       118 |        118 |               langchain_core.utils.env
import time:       538 |        538 |                     uuid_utils._uuid_utils
import time:       178 |        715 |                   uuid_utils
import time:       145 |        860 |                 uuid_utils.compat
import time:       109 |        968 |               langchain_core.utils.uuid
import time:       924 |       2956 |             langchain_core.callbacks.manager
import time:      1360 |       1360 |             langchain_core.runnables.utils
import time:      1336 |       5976 |           langchain_core.caches
import time:       117 |        117 |             langchain_core.tracers
import time:       278 |        395 |           langchain_core.tracers._streaming
import time:       457 |        457 |             langchain_core.outputs.run_info
import time:       309 |        309 |             langchain_core.runnables.schema
import time:       320 |        320 |               pprint
import time:       310 |        310 |                 jsonpointer
import time:       364 |        674 |               jsonpatch
import time:       130 |        130 |                     langsmith
import time:       119 |        119 |                         langsmith._internal
import time:       383 |        501 |                       langsmith._internal._context
import time:     66902 |      66902 |                       langsmith.schemas
import time:       114 |        114 |                           httpx.__version__
import time:       396 |        396 |                                 httpx._exceptions
import time:       704 |        704 |                                       httpx._types
import time:       141 |        141 |                                       httpx._utils
import time:       316 |       1160 |                                     httpx._multipart
import time:       170 |       1329 |                                   httpx._content
import time:       388 |        388 |                                       zstandard.backend_c
import time:       324 |        711 |                                     zstandard
import time:       232 |        943 |                                   httpx._decoders
import time:       675 |        675 |                                   httpx._status_codes
import time:      1057 |       1057 |                                     httpx._urlparse
import time:       485 |       1542 |                                   httpx._urls
import time:       588 |       5076 |                                 httpx._models
import time:       455 |       5926 |                               httpx._auth
import time:       266 |        266 |                               httpx._config
import time:       164 |        164 |                                     httpx._transports.base
import time:       297 |        460 |                                   httpx._transports.asgi
import time:       387 |        387 |                                   httpx._transports.default
import time:       154 |        154 |                                   httpx._transports.mock
import time:       163 |        163 |                                   httpx._transports.wsgi
import time:       146 |       1308 |                                 httpx._transports
import time:        26 |       1334 |                               httpx._transports.base
import time:       768 |       8291 |                             httpx._client
import time:       128 |       8419 |                           httpx._api
import time:       579 |        579 |                                 gettext
import time:      1326 |       1326 |                                   click._compat
import time:        96 |         96 |                                     click.globals
import time:       199 |        199 |                                     click.utils
import time:       284 |        578 |                                   click.exceptions
import time:      1386 |       3289 |                                 click.types
import time:       183 |        183 |                                 click._utils
import time:       188 |        188 |                                   click.parser
import time:       163 |        351 |                                 click.formatting
import time:       229 |        229 |                                 click.termui
import time:      1279 |       5907 |                               click.core
import time:       228 |        228 |                               click.decorators
import time:       236 |       6370 |                             click
import time:       129 |        129 |                               pygments
import time:      1050 |       1050 |                               pygments.lexers._mapping
import time:       213 |        213 |                               pygments.modeline
import time:        95 |         95 |                               pygments.plugin
import time:       440 |        440 |                               pygments.util
import time:       241 |       2166 |                             pygments.lexers
import time:       118 |        118 |                                 rich._extension
import time:       235 |        353 |                               rich
import time:       104 |        104 |                                 termios
import time:       130 |        234 |                               getpass
import time:       761 |        761 |                                 html.entities
import time:       248 |       1008 |                               html
import time:       178 |        178 |                               rich._null_file
import time:       153 |        153 |                               rich.errors
import time:       216 |        216 |                                           rich.color_triplet
import time:       158 |        373 |                                         rich.palette
import time:       145 |        518 |                                       rich._palettes
import time:       272 |        272 |                                       rich.repr
import time:       171 |        171 |                                       rich.terminal_theme
import time:       797 |       1757 |                                     rich.color
import time:       618 |       2374 |                                   rich.style
import time:       414 |       2788 |                                 rich.default_styles
import time:      1207 |       1207 |                                   configparser
import time:       267 |       1474 |                                 rich.theme
import time:       116 |       4377 |                               rich.themes
import time:      2119 |       2119 |                                 rich._emoji_codes
import time:       249 |       2368 |                               rich._emoji_replace
import time:        81 |         81 |                               rich._export_format
import time:        74 |         74 |                               rich._fileno
import time:       132 |        132 |                                   rich._loop
import time:        72 |         72 |                                   rich._pick
import time:       112 |        112 |                                         rich._unicode_data._versions
import time:       151 |        262 |                                       rich._unicode_data
import time:       422 |        684 |                                     rich.cells
import time:       139 |        822 |                                   rich._wrap
import time:       861 |        861 |                                         rich.segment
import time:       129 |        990 |                                       rich.jupyter
import time:        82 |         82 |                                         rich.protocol
import time:       226 |        307 |                                       rich.measure
import time:       107 |       1402 |                                     rich.constrain
import time:       220 |       1622 |                                   rich.align
import time:       265 |        265 |                                   rich.containers
import time:       205 |        205 |                                   rich.control
import time:       240 |        240 |                                   rich.emoji
import time:       837 |       4191 |                                 rich.text
import time:       177 |       4367 |                               rich._log_render
import time:       227 |        227 |                               rich.highlighter
import time:       443 |        443 |                               rich.markup
import time:       122 |        122 |                               rich.pager
import time:       111 |        111 |                                     attr._compat
import time:        68 |         68 |                                       attr._config
import time:       151 |        151 |                                         attr.exceptions
import time:        90 |        241 |                                       attr.setters
import time:      2452 |       2760 |                                     attr._make
